PWM,Rev,RPM,Time
-65535,12.760284810126583,-173.18732749628802,13.882494449615479
-65535,12.465189873417721,-176.0531039278731,13.983064651489258
-65535,12.169303797468354,-175.76880469346173,14.084067583084106
-65535,11.874208860759493,-174.93751037676978,14.185279130935669
-65535,11.578322784810126,-175.94739480661724,14.286179542541504
-65535,11.282436708860759,-175.93617033112665,14.387086391448975
-65535,10.987341772151899,-175.08103564909632,14.48821496963501
-65535,10.692246835443038,-175.97467454577688,14.58882999420166
-65535,10.397151898734178,-174.6881393050007,14.690186023712158
-65535,10.10126582278481,-175.95487858598418,14.79108214378357
-65535,9.805379746835444,-175.25211259943623,14.892382860183716
-65535,9.510284810126583,-175.62094405964928,14.993200540542603
-65535,9.214398734177216,-175.79287243683953,15.094189643859863
-65535,8.918512658227849,-175.69705555301684,15.195233821868896
-65535,8.622626582278482,-175.3627239399273,15.296470642089844
-65535,8.326740506329115,-176.24515757440156,15.397200584411621
-65535,8.030854430379748,-176.6306167752071,15.497710704803467
-65535,7.735759493670886,-175.49560784064565,15.598600387573242
-65535,7.440664556962025,-175.49602256602876,15.699489831924438
0,7.1455696202531644,-175.10374079555797,15.800605297088623
0,6.882911392405063,-156.47588320377852,15.901320457458496
0,6.679588607594937,-119.35919404605491,16.003527641296387
0,6.527689873417722,-90.45203600722598,16.10428738594055
0,6.420886075949367,-63.44985304017727,16.205284118652344
0,6.35126582278481,-41.54684051587445,16.305826425552368
0,6.3140822784810124,-22.0859863919726,16.406841278076172
0,6.3030063291139244,-6.579316904952233,16.507848262786865
0,6.3030063291139244,0.0,16.608368635177612
0,6.3030063291139244,0.0,16.70915985107422
0,6.3030063291139244,0.0,16.810242891311646
0,6.3030063291139244,0.0,16.911457300186157
0,6.3030063291139244,0.0,17.012222290039062
0,6.3030063291139244,0.0,17.11371684074402
0,6.3030063291139244,0.0,17.21470546722412
0,6.3030063291139244,0.0,17.31560730934143
0,6.3030063291139244,0.0,17.41647243499756
0,6.3030063291139244,0.0,17.517937183380127
0,6.3030063291139244,0.0,17.61878275871277
0,6.3030063291139244,0.0,17.719847202301025
0,6.3030063291139244,0.0,17.82073473930359
0,6.3030063291139244,0.0,17.921793222427368
0,6.3030063291139244,0.0,18.022202968597412
0,6.3030063291139244,0.0,18.123472929000854
0,6.3030063291139244,0.0,18.22408151626587
0,6.3030063291139244,0.0,18.326029062271118
0,6.3030063291139244,0.0,18.427042245864868
0,6.3030063291139244,0.0,18.52839732170105
0,6.3030063291139244,0.0,18.62936234474182
0,6.3030063291139244,0.0,18.729913234710693
0,6.3030063291139244,0.0,18.830913305282593
0,6.3030063291139244,0.0,18.93232035636902
0,6.3030063291139244,0.0,19.032712936401367
0,6.3030063291139244,0.0,19.133151292800903
0,6.3030063291139244,0.0,19.2343430519104
0,6.3030063291139244,0.0,19.335405588150024
0,6.3030063291139244,0.0,19.43652081489563
0,6.3030063291139244,0.0,19.53728175163269
0,6.3030063291139244,0.0,19.63802194595337
0,6.3030063291139244,0.0,19.73954153060913
0,6.3030063291139244,0.0,19.840461254119873
0,6.3030063291139244,0.0,19.941319227218628
0,6.3030063291139244,0.0,20.042513847351074
0,6.3030063291139244,0.0,20.143754959106445
0,6.3030063291139244,0.0,20.244155883789062
0,6.3030063291139244,0.0,20.34540629386902
0,6.3030063291139244,0.0,20.44661021232605
0,6.3030063291139244,0.0,20.547839403152466
0,6.3030063291139244,0.0,20.648690700531006
0,6.3030063291139244,0.0,20.75008273124695
0,6.3030063291139244,0.0,20.850926399230957
0,6.3030063291139244,0.0,20.951892852783203
